127.0.0.1 - - [19/Jan/2024:21:28:03 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/ HTTP/1.1" 200 190730
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/jstarbox.js HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/download.png HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/jquery.vide.min.js HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/veg-okra.png HTTP/1.1" 200 31908
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-catFood.png HTTP/1.1" 200 37216
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/staples-moong.png HTTP/1.1" 200 36733
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/veg-banana.png HTTP/1.1" 200 25223
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/js/jquery.mycart.js HTTP/1.1" 200 12143
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/co1.jpg HTTP/1.1" 200 25094
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/co.jpg HTTP/1.1" 200 39761
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/co2.jpg HTTP/1.1" 200 8456
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/co3.jpg HTTP/1.1" 200 14057
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/ba-hh.jpg HTTP/1.1" 200 114773
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/ba-kc.jpg HTTP/1.1" 200 197152
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/ba-pers.jpg HTTP/1.1" 200 106098
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-wheat.png HTTP/1.1" 200 39214
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-peachHalves.png HTTP/1.1" 200 37227
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-banana.png HTTP/1.1" 200 31016
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-rice1.png HTTP/1.1" 200 24728
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-oil.png HTTP/1.1" 200 29980
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-biscuits.png HTTP/1.1" 200 39912
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/kc-nuts.png HTTP/1.1" 200 47004
